id,set,human_score,pos_26
8863,4,0,0
8864,4,0,0
8865,4,3,0
8866,4,2,0
8867,4,2,0
8868,4,1,0
8869,4,0,0
8870,4,2,0
8871,4,1,0
8872,4,2,0
8873,4,2,0
8874,4,0,0
8875,4,1,0
8876,4,2,1
8877,4,0,0
8878,4,1,0
8879,4,2,0
8880,4,1,0
8881,4,3,0
8882,4,1,0
8883,4,1,0
8884,4,1,0
8885,4,3,0
8886,4,1,0
8887,4,2,0
8888,4,2,1
8889,4,1,0
8890,4,2,0
8891,4,3,0
8892,4,1,1
8893,4,2,0
8894,4,1,0
8895,4,3,0
8896,4,2,0
8897,4,1,0
8898,4,2,0
8899,4,0,0
8900,4,2,0
8901,4,0,0
8902,4,3,0
8903,4,3,0
8904,4,2,1
8905,4,2,0
8906,4,2,0
8907,4,0,0
8908,4,1,0
8909,4,2,0
8910,4,1,0
8911,4,3,0
8912,4,1,0
8913,4,1,0
8914,4,2,0
8915,4,2,0
8916,4,0,0
8917,4,0,0
8918,4,1,0
8919,4,3,0
8920,4,0,0
8921,4,2,0
8922,4,2,0
8923,4,3,0
8924,4,2,0
8925,4,1,0
8926,4,1,0
8927,4,0,0
8928,4,1,0
8929,4,1,0
8930,4,0,0
8931,4,3,0
8932,4,1,0
8933,4,2,0
8934,4,1,0
8935,4,2,0
8936,4,1,0
8937,4,1,0
8938,4,1,0
8939,4,3,0
8940,4,2,0
8941,4,3,0
8942,4,1,0
8943,4,1,0
8944,4,1,0
8945,4,2,0
8946,4,3,0
8947,4,0,0
8948,4,3,0
8949,4,0,0
8950,4,1,0
8951,4,2,0
8952,4,1,0
8953,4,1,0
8954,4,3,0
8955,4,3,0
8956,4,1,0
8957,4,2,0
8958,4,0,0
8959,4,3,0
8960,4,1,0
8961,4,1,0
8962,4,2,0
8963,4,1,0
8964,4,0,0
8965,4,2,0
8966,4,1,0
8967,4,2,0
8968,4,2,0
8969,4,2,0
8970,4,1,0
8971,4,1,0
8972,4,2,0
8973,4,3,0
8974,4,3,0
8975,4,0,0
8976,4,0,0
8977,4,2,0
8978,4,0,0
8979,4,3,0
8980,4,1,0
8981,4,3,0
8982,4,1,0
8983,4,2,0
8984,4,1,0
8985,4,1,0
8986,4,2,0
8987,4,2,0
8988,4,2,0
8989,4,1,0
8990,4,3,0
8991,4,0,0
8992,4,0,0
8993,4,0,0
8994,4,0,0
8995,4,2,0
8996,4,2,0
8997,4,1,0
8998,4,3,0
8999,4,1,0
9000,4,1,0
9001,4,2,0
9002,4,2,0
9003,4,2,0
9004,4,3,0
9005,4,3,0
9006,4,3,0
9007,4,2,0
9008,4,2,0
9009,4,2,0
9010,4,1,0
9011,4,2,0
9012,4,1,0
9013,4,1,0
9014,4,2,0
9015,4,1,0
9016,4,3,0
9017,4,2,0
9018,4,2,0
9019,4,3,0
9020,4,0,0
9021,4,2,0
9022,4,2,0
9023,4,1,0
9024,4,1,0
9025,4,1,0
9026,4,2,0
9027,4,3,0
9028,4,1,0
9029,4,2,0
9030,4,0,0
9031,4,1,0
9032,4,1,0
9033,4,1,0
9034,4,2,0
9035,4,3,0
9036,4,0,0
9037,4,3,0
9038,4,1,0
9039,4,2,1
9040,4,3,0
9041,4,0,0
9042,4,2,0
9043,4,2,0
9044,4,1,0
9045,4,0,0
9046,4,1,0
9047,4,1,0
9048,4,0,0
9049,4,2,0
9050,4,1,0
9051,4,2,0
9052,4,3,0
9053,4,2,0
9054,4,1,0
9055,4,1,0
9056,4,0,0
9057,4,2,0
9058,4,3,0
9059,4,0,0
9060,4,3,0
9061,4,3,0
9062,4,0,0
9063,4,1,0
9064,4,1,0
9065,4,1,0
9066,4,1,0
9067,4,1,0
9068,4,1,0
9069,4,3,0
9070,4,1,0
9071,4,2,0
9072,4,0,0
9073,4,1,0
9074,4,3,0
9075,4,3,0
9076,4,0,0
9077,4,1,0
9078,4,1,0
9079,4,2,0
9080,4,1,0
9081,4,2,0
9082,4,2,0
9083,4,2,0
9084,4,2,0
9085,4,2,0
9086,4,1,0
9087,4,1,0
9088,4,2,0
9089,4,2,0
9090,4,1,0
9091,4,2,0
9092,4,0,0
9093,4,1,0
9094,4,1,0
9095,4,2,0
9096,4,2,0
9097,4,1,0
9098,4,3,0
9099,4,1,0
9100,4,1,0
9101,4,1,0
9102,4,1,0
9103,4,2,0
9104,4,2,0
9105,4,1,0
9106,4,3,0
9107,4,1,0
9108,4,0,0
9109,4,0,0
9110,4,2,0
9111,4,2,0
9112,4,2,0
9113,4,1,0
9114,4,3,0
9115,4,2,0
9116,4,2,0
9117,4,2,0
9118,4,2,0
9119,4,1,0
9121,4,2,0
9122,4,2,0
9123,4,1,0
9124,4,0,0
9125,4,0,0
9126,4,1,0
9127,4,2,0
9128,4,1,0
9129,4,1,0
9130,4,0,0
9131,4,1,0
9132,4,3,0
9133,4,2,1
9134,4,3,0
9135,4,2,0
9136,4,1,0
9137,4,0,0
9138,4,3,0
9139,4,1,0
9140,4,0,0
9141,4,1,0
9142,4,1,0
9143,4,1,0
9144,4,1,0
9145,4,2,0
9146,4,1,0
9147,4,2,0
9148,4,1,0
9149,4,2,0
9150,4,1,0
9151,4,1,0
9152,4,2,0
9153,4,2,0
9154,4,1,0
9155,4,0,0
9156,4,2,0
9157,4,1,0
9158,4,3,0
9159,4,0,0
9160,4,0,0
9161,4,3,0
9162,4,1,0
9163,4,2,0
9164,4,3,0
9165,4,2,0
9166,4,2,0
9167,4,3,0
9168,4,2,0
9169,4,0,0
9170,4,3,0
9171,4,2,0
9172,4,1,0
9173,4,0,0
9174,4,1,0
9175,4,3,0
9176,4,1,0
9177,4,1,0
9178,4,2,0
9179,4,0,0
9180,4,1,0
9181,4,0,0
9182,4,2,0
9183,4,1,0
9184,4,1,0
9185,4,1,0
9186,4,1,0
9187,4,2,1
9188,4,3,0
9189,4,1,0
9190,4,3,0
9191,4,1,0
9192,4,1,0
9193,4,2,0
9194,4,1,0
9195,4,1,0
9196,4,1,0
9197,4,1,0
9198,4,2,0
9199,4,3,0
9200,4,1,0
9201,4,1,0
9202,4,0,0
9203,4,0,0
9204,4,2,1
9205,4,1,0
9206,4,1,0
9207,4,0,0
9208,4,2,0
9209,4,1,0
9210,4,1,0
9211,4,2,0
9212,4,2,0
9213,4,1,0
9214,4,1,0
9215,4,2,0
9216,4,1,0
9217,4,3,0
9218,4,1,0
9219,4,2,1
9220,4,3,0
9221,4,1,0
9222,4,2,0
9223,4,2,0
9224,4,2,0
9225,4,1,0
9226,4,0,0
9227,4,2,0
9228,4,2,0
9229,4,2,0
9230,4,2,0
9231,4,1,0
9232,4,1,0
9233,4,1,0
9234,4,0,0
9235,4,1,0
9236,4,2,0
9237,4,2,0
9238,4,2,0
9239,4,2,0
9240,4,1,0
9241,4,1,0
9242,4,1,0
9243,4,2,0
9244,4,1,0
9245,4,1,0
9246,4,0,0
9247,4,3,0
9248,4,2,0
9249,4,2,0
9250,4,1,0
9251,4,2,0
9252,4,1,0
9253,4,1,1
9254,4,3,0
9255,4,3,0
9256,4,2,0
9257,4,3,0
9258,4,3,0
9259,4,2,0
9260,4,3,1
9261,4,1,0
9262,4,0,0
9263,4,3,0
9264,4,3,0
9265,4,1,0
9266,4,1,0
9267,4,1,0
9268,4,0,0
9269,4,2,0
9270,4,1,0
9271,4,1,0
9272,4,0,0
9273,4,0,0
9274,4,2,0
9275,4,1,0
9276,4,1,0
9277,4,2,0
9278,4,2,0
9279,4,1,0
9280,4,1,0
9281,4,2,0
9282,4,2,0
9283,4,1,0
9284,4,1,0
9285,4,2,0
9286,4,0,0
9287,4,2,0
9288,4,3,0
9289,4,0,0
9290,4,2,0
9291,4,2,0
9292,4,3,0
9293,4,0,0
9294,4,1,0
9295,4,2,0
9296,4,1,0
9297,4,1,0
9298,4,2,0
9299,4,1,0
9300,4,1,0
9301,4,3,0
9302,4,1,0
9303,4,1,0
9304,4,3,0
9305,4,0,0
9306,4,2,0
9307,4,2,0
9308,4,0,0
9309,4,2,1
9310,4,1,0
9311,4,0,0
9312,4,2,0
9313,4,0,0
9314,4,0,0
9315,4,2,0
9316,4,3,0
9317,4,2,0
9318,4,0,0
9319,4,3,0
9320,4,1,0
9321,4,1,0
9322,4,0,0
9323,4,1,0
9324,4,0,0
9325,4,3,0
9326,4,1,0
9327,4,3,0
9328,4,0,0
9329,4,3,0
9330,4,2,0
9331,4,2,0
9332,4,2,0
9333,4,0,0
9334,4,1,0
9335,4,1,0
9336,4,2,0
9337,4,1,0
9338,4,1,0
9339,4,1,0
9340,4,2,0
9341,4,3,0
9342,4,2,0
9343,4,1,0
9344,4,0,0
9345,4,0,0
9346,4,3,0
9347,4,2,0
9348,4,1,0
9349,4,0,0
9350,4,1,0
9351,4,0,0
9352,4,2,0
9353,4,2,0
9354,4,2,0
9355,4,1,0
9356,4,1,0
9357,4,2,0
9358,4,0,0
9359,4,0,0
9360,4,1,0
9361,4,2,0
9362,4,3,0
9363,4,2,2
9364,4,2,0
9365,4,3,0
9366,4,2,0
9367,4,3,0
9368,4,1,0
9369,4,1,0
9370,4,0,0
9371,4,2,0
9372,4,1,0
9373,4,1,0
9374,4,1,0
9375,4,2,0
9376,4,2,0
9377,4,1,0
9378,4,1,0
9379,4,2,0
9380,4,2,0
9381,4,0,0
9382,4,2,0
9383,4,1,0
9384,4,1,0
9385,4,1,0
9386,4,2,0
9387,4,2,0
9388,4,1,0
9389,4,3,0
9390,4,1,0
9391,4,2,0
9392,4,2,0
9393,4,0,2
9394,4,1,0
9395,4,1,0
9396,4,0,0
9397,4,2,0
9398,4,1,0
9399,4,2,0
9400,4,1,0
9401,4,3,0
9402,4,3,0
9403,4,2,0
9404,4,0,0
9405,4,2,0
